LOB,ZONA,COACH,LOB.1,NOMBRE CLIENTE,Dirección,CP,Provincia,Población,TOTAL 2025 ,TOTAL YTD25,TOTAL YTD26,EVOL TOTAL,AVENE 2025,AVENE YTD 25,AVENE YTD 26,EVOL AVENE ,OPORTUNIDAD AVENE,AVENE 2025.1,AVENE YTD 25.1,AVENE YTD 26.1,EVOL AVENE .1,OPORTUNIDAD SIN SOLAR,AVENE 2025.2,AVENE YTD 25.2,AVENE YTD 26.2,EVOL AVENE .2,OPORTUNIDAD SOLAR,DUCRAY 2025,DUCRAY YTD 25,DUCRAY YTD 26,EVOL DUCRAY,OPORTUNIDAD DUCRAY,ADERMA 2025,ADERMA YTD 25,ADERMA YTD 26,EVOL ADERMA,OPORTUNIDAD ADERMA,DEXERYL 2025,DEXERYL YTD 25,DEXERYL YTD 26,EVOL DEXERYL,OPORTUNIDAD DEXERYL,Día de Fecha último pedido KF/ADA
1010768,Area 1,LAURA LUQUIN FRANQUET,1010768,INVERPHARMA 2014 SL,RB CATALUNYA 61 PRAL 1,8007,BARCELONA,BARCELONA,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2023-02-15
1010822,Area 1,LAURA LUQUIN FRANQUET,1010822,URIARTE CULLERE MIGUEL,CL DOCTOR REIG 67,8840,BARCELONA,VILADECANS,2542,2000,0,-1.0,1483,1098,0,-1.0,,772,387,0,-1.0,,711,711,0,-1.0,,693,536,0,-1.0,,366,366,0,-1.0,,418,311,0,-1.0,,2025-09-29
1011365,Area 1,LAURA LUQUIN FRANQUET,1011365,BUENO ANDREU VICENTE,CTRA VALLS 57,43700,TARRAGONA,"VENDRELL, EL",4908,3587,3840,-0.006134969325153339,3817,2921,3075,0.05272167066073252,,1807,944,728,-0.23,,2010,1977,2347,0.19,,855,501,722,0.44,,236,165,43,-0.74,,500,325,48,-0.85,,2026-07-09
1011585,Area 1,LAURA LUQUIN FRANQUET,1011585,TORREGUITART-GUERRERO PALLI CB,CL AEROP-TERMINAL T1PLANTA,8820,BARCELONA,"PRAT DE LLOBREGAT, EL",16566,13113,15214,0.1561820499362676,16464,13047,14471,0.10914386448992097,,6635,3294,3735,0.13,,9829,9753,10736,0.1,,95,59,371,5.28,,7,7,372,54.63,,318,224,206,-0.08,,2026-07-21
1011796,Area 1,LAURA LUQUIN FRANQUET,1011796,TUDELA BELDA ALBERTO,CL CAPUTXINS 48,8800,BARCELONA,VILANOVA I LA GELTRU,3714,2984,1392,-0.544949329846355,2288,1953,1370,-0.29851510496671785,,1112,741,292,-0.61,,1176,1212,1078,-0.11,,1028,679,22,-0.97,,398,352,0,-1.0,,112,75,0,-1.0,1.0,2026-06-30
1012053,Area 1,LAURA LUQUIN FRANQUET,1012053,MIRET SOLE CARME,CR SANT PERE DE RIBES 42,8870,BARCELONA,SITGES,600,409,248,-0.3142250530785563,176,110,165,0.5,,161,95,140,0.47,1.0,15,15,25,0.64,1.0,284,184,53,-0.71,,140,115,30,-0.74,1.0,72,62,75,0.22,1.0,2026-06-16
1012239,Area 1,LAURA LUQUIN FRANQUET,1012239,MONGAPI S.L.,PS MARITIMO 249-251,8860,BARCELONA,CASTELLDEFELS,2500,1491,1026,-0.32023195876288657,1918,1249,666,-0.466773418734988,,1883,1214,666,-0.45,,35,35,0,-1.0,1.0,465,190,283,0.49,,117,52,77,0.48,1.0,113,61,29,-0.53,1.0,2026-06-29
1012312,Area 1,LAURA LUQUIN FRANQUET,1012312,RUBIO MORENO GREGORIA,"LUGAR URB ROC DE SAN CAYETANO_x000D_
AV DEL MAR 17 (FARMACIA)",43883,TARRAGONA,RODA DE BERA,1480,1427,1498,0.050707547169811296,425,452,281,-0.37831858407079644,,443,452,281,-0.38,,-18,0,0,0.0,1.0,647,623,154,-0.75,,408,352,1063,2.02,,269,269,284,0.06,,2026-04-13
1012327,Area 1,LAURA LUQUIN FRANQUET,1012327,BUIL ALCARAZ ALFREDO,CL VILAMARI 106 (FCIA),8015,BARCELONA,BARCELONA,239,205,243,0.18536585365853653,188,174,168,-0.03448275862068961,,188,174,168,-0.03,,0,0,0,0.0,1.0,51,31,75,1.42,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2026-03-04
1012689,Area 1,LAURA LUQUIN FRANQUET,1012689,BUSQUETS CASSO ANNA,CL LLUIS COMPANYS 72,8810,BARCELONA,SANT PERE DE RIBES,1543,706,763,0.05096418732782371,1080,454,727,0.6013215859030836,,1063,454,727,0.6,,17,0,0,0.0,1.0,342,181,36,-0.8,,121,71,0,-1.0,1.0,61,20,0,-1.0,1.0,2026-06-16
1012832,Area 1,LAURA LUQUIN FRANQUET,1012832,AAGAARD GARCIA ELISA,PS VILANOVA 72,8870,BARCELONA,SITGES,5754,4161,2477,-0.3107426099495314,5298,3705,2103,-0.43238866396761133,,3178,1585,442,-0.72,,2120,2120,1661,-0.22,,340,340,374,0.1,,116,116,0,-1.0,1.0,112,0,391,0.0,,2026-05-05
1013319,Area 1,LAURA LUQUIN FRANQUET,1013319,FARMATEROS SL,C MAS DURAN 48,8042,BARCELONA,BARCELONA,21884,12426,15124,0.21278817575708886,14790,8614,11300,0.3118179707452984,,10457,5573,6959,0.25,,4333,3041,4341,0.43,,5452,2946,2442,-0.17,,1642,866,1382,0.6,,182,23,-26,-2.14,1.0,2026-07-21
1013558,Area 1,LAURA LUQUIN FRANQUET,1013558,FRANCO PAMIES M TERESA,CL JESUS 48 (FARMACIA),43820,TARRAGONA,CALAFELL,10107,7402,7355,0.004186837629203133,7749,5653,5521,-0.023350433398195647,,5175,3119,2411,-0.23,,2574,2534,3110,0.23,,1607,1225,977,-0.2,,751,524,857,0.64,,474,241,320,0.33,,2026-06-30
1013617,Area 1,LAURA LUQUIN FRANQUET,1013617,URIZ FINA MERCEDES,AV MIRAMAR 7,8840,BARCELONA,VILADECANS,8978,7096,6432,-0.10016602102933037,5652,4280,4418,0.03224299065420566,,2655,1283,1102,-0.14,,2997,2997,3316,0.11,,2703,2218,1272,-0.43,,623,598,742,0.24,,230,132,72,-0.46,1.0,2026-07-10
1013945,Area 1,LAURA LUQUIN FRANQUET,1013945,PLANAS NOGUE GERAR,CL ARTUR CARBONELL 30,8870,BARCELONA,SITGES,21644,18906,20076,0.04803064023601267,18902,16817,18084,0.07534042932746621,,7383,5312,4961,-0.07,,11519,11505,13123,0.14,,1418,1010,1485,0.47,,1324,1079,507,-0.53,,477,415,173,-0.58,,2026-06-30
1014137,Area 1,LAURA LUQUIN FRANQUET,1014137,ROSELL OLLE MAR,CL ISABEL VILELLA 9,43719,TARRAGONA,BELLVEI,420,355,2669,6.455307262569832,209,209,2173,9.397129186602871,,209,209,1265,5.07,,0,0,908,0.0,,211,146,496,2.39,,0,0,0,0.0,1.0,3,3,0,-1.0,1.0,2026-06-09
1014609,Area 1,LAURA LUQUIN FRANQUET,1014609,SCHILT CATAFAL PAU,CL ROSER 39 (FCIA),8004,BARCELONA,BARCELONA,9917,6708,2258,-0.6683740670276599,7693,5275,793,-0.8496682464454977,,5588,3183,765,-0.76,,2105,2092,28,-0.99,,1889,1129,1107,-0.02,,335,304,358,0.18,,224,125,8,-0.94,1.0,2026-06-12
1014630,Area 1,LAURA LUQUIN FRANQUET,1014630,JUSTE DIEZ DE PINOS JOSE LUIS,CL FLORS 74,43700,TARRAGONA,"VENDRELL, EL",5288,3066,3888,0.3522690173032974,4986,2858,2714,-0.05038488453463963,,3453,1325,1123,-0.15,,1533,1533,1591,0.04,,208,114,940,7.23,,94,94,234,1.5,,48,-3,254,-77.14,,2026-06-23
1014718,Area 1,LAURA LUQUIN FRANQUET,1014718,MORANCHO ECHEVERRIA OLGA,CL FREDERIC SOLER 34 (FCIA),8820,BARCELONA,"PRAT DE LLOBREGAT, EL",4100,2092,1988,-0.06341911764705888,2627,1385,1033,-0.2541516245487364,,1936,674,1033,0.53,,691,711,0,-1.0,,1375,647,555,-0.14,,98,60,400,5.62,,154,84,50,-0.41,1.0,2026-07-09
1014911,Area 1,LAURA LUQUIN FRANQUET,1014911,NAZTILIA S L,AV BARCELONA 71-73,43881,TARRAGONA,CUNIT,16620,13480,10843,-0.1895335444860351,12800,10833,9356,-0.1363426566971292,,6347,4553,3699,-0.19,,6453,6280,5657,-0.1,,2838,1839,930,-0.49,,982,808,557,-0.31,,535,412,416,0.01,,2026-07-28
1014950,Area 1,LAURA LUQUIN FRANQUET,1014950,CASULLERAS ROMEU NURIA,CL DEL RIN 17-19,43882,TARRAGONA,SEGUR DE CALAFELL,9243,5801,5554,-0.0600407055630936,7328,4874,4277,-0.12248666393106278,,4068,1735,1091,-0.37,,3260,3139,3186,0.01,,1160,509,916,0.8,,755,418,361,-0.14,,251,95,-12,-1.13,1.0,2026-07-06
1015257,Area 1,LAURA LUQUIN FRANQUET,1015257,SALAGRE MIRO VENECIA,AV CUBELLES 41,8800,BARCELONA,VILANOVA I LA GELTRU,6920,4600,4705,0.014751714107625213,4875,3506,3047,-0.13091842555618938,,2213,844,1128,0.34,,2662,2662,1919,-0.28,,1880,923,1230,0.33,,165,171,428,1.5,,548,213,179,-0.16,,2026-07-28
1015356,Area 1,LAURA LUQUIN FRANQUET,1015356,FELIU RUIZ LIDIA,RBLA DE LA PAU 89 (FCIA),8800,BARCELONA,VILANOVA I LA GELTRU,11422,9959,6307,-0.3533451049637042,8792,7503,4795,-0.3609222977475677,,5366,4211,2578,-0.39,,3426,3292,2217,-0.33,,1837,1694,858,-0.49,,793,762,654,-0.14,,302,235,285,0.21,,2026-07-27
1015647,Area 1,LAURA LUQUIN FRANQUET,1015647,ROCABEYERA RUIZ MARGARITA,CL JOSEP IRLA 5,8840,BARCELONA,VILADECANS,9965,5005,6615,0.35124685868934846,6295,2969,3618,0.2185921185584372,,4857,1985,1690,-0.15,,1438,984,1928,0.96,,2464,1440,1978,0.37,,1206,596,1019,0.71,,327,168,375,1.23,,2026-07-14
1015764,Area 1,LAURA LUQUIN FRANQUET,1015764,CORREDERA SABARICH BEATRIU,AV SANT JORDI 19-21,43830,TARRAGONA,TORREDEMBARRA,5790,4780,5430,0.1312717591644481,3902,3160,3662,0.15886075949367084,,2630,1905,1652,-0.13,,1272,1255,2010,0.6,,1237,1068,1029,-0.04,,651,552,739,0.34,,143,103,94,-0.08,1.0,2026-07-20
1015871,Area 1,LAURA LUQUIN FRANQUET,1015871,"DE LEON GONZALEZ, ANA MARIA",CL LLANÇA 35,8015,BARCELONA,BARCELONA,1271,168,1007,5.791666666666667,584,134,625,3.664179104477612,,584,134,625,3.65,,0,0,0,0.0,1.0,587,34,338,9.07,,100,0,44,0.0,1.0,173,0,134,0.0,1.0,2026-07-09
1016028,Area 1,LAURA LUQUIN FRANQUET,1016028,MORERA LLOVERA MONTSERRAT,CL MIQUEL SERVET 86,8812,BARCELONA,"ROQUETES, LES",3514,2104,2251,0.0612431444241317,2630,1396,1459,0.045128939828080306,,1922,688,566,-0.18,,708,708,893,0.26,,689,584,314,-0.46,,195,124,478,2.85,,84,84,71,-0.16,1.0,2026-07-21
1016280,Area 1,LAURA LUQUIN FRANQUET,1016280,ENRICH ESTEVE ANA,CL FERRAN 7,8002,BARCELONA,BARCELONA,7701,5693,4772,-0.14485902414317064,5061,3868,3642,-0.05842812823164423,,3934,3018,2211,-0.27,,1127,850,1431,0.68,,1348,864,645,-0.25,,1292,961,485,-0.5,,308,230,293,0.27,,2026-06-01
1016294,Area 1,LAURA LUQUIN FRANQUET,1016294,GARCIA LOPEZ BERTOMEU,C ARCADI BALAGUER 17,8860,BARCELONA,CASTELLDEFELS,27018,17473,18509,0.06683615819209043,18087,12451,12658,0.016625170669022582,,10842,6107,5859,-0.04,,7245,6344,6799,0.07,,5229,2333,2517,0.08,,3702,2689,3334,0.24,,450,227,374,0.64,,2026-07-18
1016689,Area 1,LAURA LUQUIN FRANQUET,1016689,DOMINGUEZ CEDAZO MARIA,RB LLUIS COMPANYS 8,8800,BARCELONA,VILANOVA I LA GELTRU,6168,4048,2234,-0.48310092176790354,5490,3649,1559,-0.5727596601808715,,2765,1367,444,-0.68,,2725,2282,1115,-0.51,,636,357,585,0.64,,42,42,90,1.16,1.0,183,183,-47,-1.26,,2026-06-04
1016753,Area 1,LAURA LUQUIN FRANQUET,1016753,BALTASAR BORREL MARIA ANTONIETA,CL GUIFRE EL PELOS 36,8840,BARCELONA,VILADECANS,318,0,575,,232,0,512,,,232,0,494,0.0,,0,0,18,0.0,1.0,86,0,63,0.0,1.0,0,0,0,0.0,1.0,24,0,12,0.0,1.0,2026-07-01
1016754,Area 1,LAURA LUQUIN FRANQUET,1016754,MASGU PHARMA S.L.,CL JOSEP COROLEU 74,8800,BARCELONA,VILANOVA I LA GELTRU,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2021-06-17
1016864,Area 1,LAURA LUQUIN FRANQUET,1016864,LLEVAT FELIUS NOELIA,CL TORRE D'ENVEJA 43 (FCIA),8800,BARCELONA,VILANOVA I LA GELTRU,14324,11119,10315,-0.06770516056043863,9838,8040,7178,-0.10721393034825866,,7894,6082,3671,-0.4,,1944,1958,3507,0.79,,2807,1709,2089,0.22,,1679,1370,1048,-0.24,,605,372,398,0.07,,2026-06-24
1016960,Area 1,LAURA LUQUIN FRANQUET,1016960,FARMACIA CATALAN CB,CL ESTANY DE LA MURTRA 1,8820,BARCELONA,"PRAT DE LLOBREGAT, EL",2901,2449,843,-0.6240875912408759,1161,1113,69,-0.9380053908355795,,469,421,69,-0.84,,692,692,0,-1.0,,898,612,523,-0.15,,842,724,251,-0.65,,440,291,187,-0.36,,2026-09-04
1017457,Area 1,LAURA LUQUIN FRANQUET,1017457,XUCLA GODIA MARIANO,CL MAYOR 100,8750,BARCELONA,MOLINS DE REI,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2023-11-06
1017618,Area 1,LAURA LUQUIN FRANQUET,1017618,BRESCO MANCHO JOSE MANUEL,CL DOCTOR REIG 24,8840,BARCELONA,VILADECANS,3798,2452,2271,-0.10930861336423325,1436,1177,527,-0.5522514868309261,,1099,840,527,-0.37,,337,337,0,-1.0,,1859,902,1252,0.39,,503,373,492,0.32,,164,137,35,-0.75,1.0,2026-07-13
1017671,Area 1,LAURA LUQUIN FRANQUET,1017671,BADIA DEL ROMERO MARIA ESTELLA,AV FRANCESC MACIA 17(FARMACIA),8840,BARCELONA,VILADECANS,6531,5001,3415,-0.32934014139827184,318,279,0,-1.0,,318,279,0,-1.0,,0,0,0,0.0,1.0,3480,2263,2205,-0.03,,2733,2459,1210,-0.51,,188,91,0,-1.0,1.0,2026-07-28
1017932,Area 1,LAURA LUQUIN FRANQUET,1017932,FARMACIA GIRALT CB,RB PRINCIPAL 11 (FARMACIA),8800,BARCELONA,VILANOVA I LA GELTRU,10171,5802,4023,-0.37081639036596814,8523,4510,2869,-0.36385809312638584,,4833,2898,2046,-0.29,,3690,1612,823,-0.49,,1420,1111,988,-0.11,,228,181,166,-0.09,,839,592,0,-1.0,,2026-06-26
1017996,Area 1,LAURA LUQUIN FRANQUET,1017996,ARRIBAS ADRIAN JORGE,AV SEGLE XXI 6 (FCIA),8840,BARCELONA,VILADECANS,4365,3159,2284,-0.329313809933965,937,586,1057,0.8037542662116042,,937,586,605,0.03,,0,0,452,0.0,,2158,1522,823,-0.46,,1270,1051,404,-0.62,,456,324,52,-0.84,,2026-07-03
1018053,Area 1,LAURA LUQUIN FRANQUET,1018053,MILLAN CONTRERAS MARTHA ISABEL,AV VERGE DE MONTSERRAT 4,43830,TARRAGONA,TORREDEMBARRA,5902,3815,4514,0.21261261261261266,3480,1765,2619,0.48385269121813024,,2023,874,1031,0.18,,1457,891,1588,0.78,,1342,1123,642,-0.43,,1080,927,1253,0.35,,82,70,197,1.8,,2026-07-03
1018086,Area 1,LAURA LUQUIN FRANQUET,1018086,FARMA COMPRA ONLINE S.L.,CL RAMBLA VAYREDA 24 1 A,8850,BARCELONA,GAVA,18764,17599,7642,-0.5503253182461103,18045,16889,5232,-0.6902125643910237,,3979,2823,1925,-0.32,,14066,14066,3307,-0.76,,360,303,1497,3.94,,359,407,913,1.24,,169,76,306,3.02,,2026-07-07
1018090,Area 1,LAURA LUQUIN FRANQUET,1018090,FARMACIA SALA GARCIA C.B.,CL SAN MARIANO 99,8840,BARCELONA,VILADECANS,2515,1548,2956,0.7226107226107226,1422,908,1949,1.14647577092511,,1105,591,1027,0.74,,317,317,922,1.91,,795,443,612,0.38,,298,197,395,1.0,,357,168,0,-1.0,,2026-06-29
1018125,Area 1,LAURA LUQUIN FRANQUET,1018125,MIRIAM ALMOR ANDREU,"RD SANT PAU, 51",8015,BARCELONA,BARCELONA,2341,1516,1669,0.08449883449883444,1579,862,584,-0.3225058004640371,,1579,862,584,-0.32,,0,0,0,0.0,1.0,559,509,642,0.26,,203,145,443,2.06,,200,200,192,-0.04,,2026-06-26
1018145,Area 1,LAURA LUQUIN FRANQUET,1018145,FONT SOLER PILAR,CL SANT FRANÇESC 40,8870,BARCELONA,SITGES,41577,26599,18411,-0.3105900655628403,39560,25367,16251,-0.35936452871841373,,17521,11643,12317,0.06,,22039,13724,3934,-0.71,,1314,766,1196,0.56,,703,466,964,1.07,,623,398,201,-0.5,,2026-07-27
1018688,Area 1,LAURA LUQUIN FRANQUET,1018688,PUIGDEVALL VALERO MIGUEL ANGEL,"AV JOAN CARLES I, 56",8850,BARCELONA,GAVA,326,146,99,-0.4381443298969072,152,49,41,-0.16326530612244894,1.0,152,49,41,-0.16,1.0,0,0,0,0.0,1.0,174,97,58,-0.4,1.0,0,0,0,0.0,1.0,58,48,10,-0.79,1.0,2026-06-19
2000166,Area 1,LAURA LUQUIN FRANQUET,2000166,SUBURFARMA SL,AV CAMI DELS CAPELLANS 23 (FARMACIA),8870,BARCELONA,SITGES,8384,5318,8966,0.6724875267284391,7182,4234,7016,0.6570618800188948,,2410,1006,2089,1.08,,4772,3228,4927,0.53,,671,594,1125,0.89,,531,490,825,0.68,,336,294,420,0.42,,2026-07-27
2000351,Area 1,LAURA LUQUIN FRANQUET,2000351,GALIOT MONTENEGRO ANA,CL ESGLESIA 57,8860,BARCELONA,CASTELLDEFELS,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2024-05-08
2000802,Area 1,LAURA LUQUIN FRANQUET,2000802,CABANE LEON MARIA (PARAF.BCN),AV VIRGEN DE MONTASERRAT 88 L3,8820,BARCELONA,"PRAT DE LLOBREGAT, EL",0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2021-03-11
7000612,Area 1,LAURA LUQUIN FRANQUET,7000612,TORRENTS BERGE SANTIAGO,CL MARE DE DEU DEL PORT 255,8038,BARCELONA,BARCELONA,854,539,248,-0.5258620689655172,273,161,68,-0.577639751552795,,258,146,50,-0.66,1.0,15,15,18,0.21,1.0,465,279,103,-0.63,,116,99,77,-0.23,1.0,70,41,27,-0.33,1.0,2026-06-30
7000630,Area 1,LAURA LUQUIN FRANQUET,7000630,FARMAGRANVIA216 SL,AV GRAN VIA 216,8004,BARCELONA,BARCELONA,44791,25711,26459,0.023938487178515988,23661,15412,17348,0.12561640280301067,,16389,8140,8678,0.07,,7272,7272,8670,0.19,,14341,5886,6204,0.05,,6789,4413,2907,-0.34,,1057,690,574,-0.17,,2026-07-07
7000663,Area 1,LAURA LUQUIN FRANQUET,7000663,JANES CASALS MARIA,PG MARITIMO SANT JOAN DE DEU 238,43882,TARRAGONA,SEGUR DE CALAFELL,14351,8437,8940,0.06477018925590694,11547,6716,6773,0.00848719475878501,,5885,3389,4039,0.19,,5662,3327,2734,-0.18,,1872,1101,1104,0.0,,932,620,1063,0.71,,276,70,118,0.68,1.0,2026-07-29
7000759,Area 1,LAURA LUQUIN FRANQUET,7000759,BOMARI SL,PZA DEL NOU 3,8038,BARCELONA,BARCELONA,22109,17735,29165,0.6444882999718071,21101,16844,27097,0.6087033958679648,,10390,6133,5535,-0.1,,10711,10711,21562,1.01,,798,705,704,0.0,,210,186,1364,6.35,,0,0,0,0.0,1.0,2026-07-22
7000777,Area 1,LAURA LUQUIN FRANQUET,7000777,MARTINEZ NAVAS MARTA,CL PUIG I CADAFALCH 3,43881,TARRAGONA,CUNIT,1844,686,1132,0.6647398843930636,1808,679,1131,0.6656848306332843,,332,27,48,0.77,1.0,1476,652,1083,0.66,,22,22,1,-0.97,1.0,14,-15,0,-1.0,1.0,19,6,20,2.33,1.0,2026-07-23
7000916,Area 1,LAURA LUQUIN FRANQUET,7000916,RIO MARTINEZ HELENA,AV GRAN VIA CORTS CATALANES 130(FARMACIA),8038,BARCELONA,BARCELONA,7674,4331,5228,0.20121539500337615,5926,3367,4095,0.21621621621621623,,4385,2326,1837,-0.21,,1541,1041,2258,1.17,,1314,688,753,0.09,,434,276,380,0.38,,225,112,109,-0.03,1.0,2026-07-18
7001043,Area 1,LAURA LUQUIN FRANQUET,7001043,FARMACIA GORDO CB,AV DEL MAR 2 (FCIA),8860,BARCELONA,CASTELLDEFELS,0,0,237,,0,0,149,,1.0,0,0,149,0.0,1.0,0,0,0,0.0,1.0,0,0,88,0.0,1.0,0,0,0,0.0,1.0,0,0,49,0.0,1.0,2026-03-09
7001418,Area 1,LAURA LUQUIN FRANQUET,7001418,BERGA CULLERE CAROLINA,CT SANT CLIMENT 58,8840,BARCELONA,VILADECANS,14272,8032,7027,-0.10048309178743964,11935,6682,4766,-0.28674049685722836,,7170,4021,3446,-0.14,,4765,2661,1320,-0.5,,1932,1081,1113,0.03,,405,269,1148,3.27,,568,248,421,0.7,,2026-07-28
7001430,Area 1,LAURA LUQUIN FRANQUET,7001430,MILLAN HOMEDES ELISEO JOSE,C PORT ALEGRE 57 (FARMACIA),8870,BARCELONA,SITGES,15386,13964,17214,0.22366027703931723,13904,12547,15640,0.24651311070375392,,7239,5674,5544,-0.02,,6665,6873,10096,0.47,,905,905,798,-0.12,,577,512,776,0.52,,571,330,277,-0.16,,2026-07-23
7001597,Area 1,LAURA LUQUIN FRANQUET,7001597,PRATFARMA SL,C JAUME CASANOVAS 9,8820,BARCELONA,EL PRAT DE LLOBREGAT,3102,1996,5576,1.9542516161113874,2284,1328,4605,2.4676204819277108,,1543,587,2328,2.96,,741,741,2277,2.07,,125,56,837,13.86,,693,612,134,-0.78,,36,15,365,23.97,,2026-06-30
7001624,Area 1,LAURA LUQUIN FRANQUET,7001624,TORRENTS BERGE JAVIER,CL ENERGIA 9,8038,BARCELONA,BARCELONA,425,293,240,-0.2028985507246377,182,151,110,-0.2715231788079471,,167,136,74,-0.46,1.0,15,15,36,1.42,1.0,145,93,70,-0.25,1.0,98,49,60,0.23,1.0,58,52,35,-0.32,1.0,2026-06-27
7001644,Area 1,LAURA LUQUIN FRANQUET,7001644,MONTENEGRO GUIJALBA OMAR,CL ILDEFONS CERDA 54 (FCIA),8810,BARCELONA,SANT PERE DE RIBES,11428,8207,7229,-0.139663489822332,9169,7113,6126,-0.13876001687051875,,5796,3679,2953,-0.2,,3373,3434,3173,-0.08,,1503,700,574,-0.18,,756,394,529,0.34,,335,292,83,-0.72,,2026-07-15
7001671,Area 1,LAURA LUQUIN FRANQUET,7001671,FARMACIA MARQUINA PASCUAL CB,C CONSELL DE CENT 98,8015,BARCELONA,BARCELONA,5849,3938,6361,0.6334077934971456,4193,3134,4524,0.44352265475430763,,3356,2133,2607,0.22,,837,1001,1917,0.91,,1424,641,1426,1.22,,232,163,411,1.52,,358,91,220,1.41,,2026-06-28
7001713,Area 1,LAURA LUQUIN FRANQUET,7001713,ALOMAR BRUTAU ESTHER,PS VILANOVA 15,8880,BARCELONA,CUBELLES,10831,7728,8535,0.11981680901101632,7310,5644,6424,0.13819985825655556,,4020,2354,2739,0.16,,3290,3290,3685,0.12,,3196,1759,1828,0.04,,325,325,283,-0.13,,625,351,512,0.46,,2026-07-28
7001754,Area 1,LAURA LUQUIN FRANQUET,7001754,TEAM PHARMA SL,C ROSELLO 427 6 2,8025,BARCELONA,BARCELONA,8809,4799,7184,0.5097487814023247,3490,1813,4011,1.2123552123552122,,3490,1813,2949,0.63,,0,0,1062,0.0,,4018,2239,2416,0.08,,1301,747,757,0.01,,1009,535,869,0.62,,2026-07-27
7001946,Area 1,LAURA LUQUIN FRANQUET,7001946,LLADOS TIRADO JUAN RAMON,AV DE  LA CONSTITUCIO 378,8860,BARCELONA,CASTELLDEFELS,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2022-11-16
7002263,Area 1,LAURA LUQUIN FRANQUET,7002263,GORDILLO ABALOS M JESUS,CL COROLEU 79 (FARMACIA),8800,BARCELONA,VILANOVA I LA GELTRU,11200,8236,8023,-0.03670376509590334,8505,6538,5878,-0.10094830223309881,,4400,2404,2168,-0.1,,4105,4134,3710,-0.1,,1674,959,1314,0.37,,1021,739,831,0.12,,304,210,113,-0.46,,2026-06-24
7002270,Area 1,LAURA LUQUIN FRANQUET,7002270,RUBIO PETIT NURIA,AV JAUME BALMES 26 (FARMACIA),8800,BARCELONA,VILANOVA I LA GELTRU,3653,2590,2575,-0.049288061336254074,2790,2059,2182,0.05973773676542016,,1397,691,453,-0.34,,1393,1368,1729,0.26,,462,273,303,0.11,,401,258,90,-0.65,,212,149,29,-0.81,1.0,2026-07-22
7002311,Area 1,LAURA LUQUIN FRANQUET,7002311,ARGELAGA VALLS ANNA,C ARCADI BALAGUER 64,8860,BARCELONA,CASTELLDEFELS,1564,1229,0,-1.0,565,509,0,-1.0,,565,509,0,-1.0,,0,0,0,0.0,1.0,776,606,0,-1.0,,223,114,0,-1.0,1.0,573,513,0,-1.0,,2025-12-17
7002579,Area 1,LAURA LUQUIN FRANQUET,7002579,ALMUDENA MARTINEZ GARCIA,C PARLAMENT 17,8015,BARCELONA,BARCELONA,5892,3869,959,-0.77906186267845,4472,2688,628,-0.7663690476190477,,4472,2688,628,-0.77,,0,0,0,0.0,1.0,963,800,91,-0.89,,457,381,240,-0.37,,634,544,16,-0.97,,2026-06-29
7002635,Area 1,LAURA LUQUIN FRANQUET,7002635,MONTAÑANA PALOMO CB,AV CONSTITUCION 390,8860,BARCELONA,CASTELLDEFELS,897,800,1053,0.2956204379562044,761,725,174,-0.76,,59,23,178,6.68,,702,702,-4,-1.01,,100,54,879,15.14,,36,21,0,-1.0,1.0,22,22,12,-0.45,1.0,2026-06-18
7002685,Area 1,LAURA LUQUIN FRANQUET,7002685,MARCO GRAZIADEI,CL LLIBERTAT 93 101,8800,BARCELONA,VILANOVA I LA GELTRU,850,369,634,0.6389496717724288,285,150,189,0.26,,285,150,23,-0.85,,0,0,166,0.0,,565,219,445,1.03,,0,0,0,0.0,1.0,120,88,115,0.3,1.0,2026-06-08
7002689,Area 1,LAURA LUQUIN FRANQUET,7002689,MONTES CORRALES MANUEL,AV DEL MILENARI 6 (FCIA),8840,BARCELONA,VILADECANS,6253,4340,4588,0.07057024251693256,2768,1942,1982,0.020597322348094638,,2061,1249,752,-0.4,,707,693,1230,0.78,,2054,1139,1895,0.66,,1431,1259,711,-0.44,,354,237,312,0.32,,2026-07-21
